Star,Type,Teff,A(N),dA(N),A(O),dA(O),A(C),dA(C),oisorat,oisorat_low,oisorat_high,18Orat,18Orat_low,18Orat_high,[Fe],[Mg],[Na],[Ca],[S],[Si]
HD 137613,dlHdC,5500,9.238,0.062,8.723,0.083,9.86,0.12,0.52,-0.11,0.14,0.66,-0.055,0.053,-0.19,0.43,0.32,-0.22,-0.19,-0.38
HD 182040,dlHdC,5750,9.084,0.081,7.993,0.063,9.895,0.13,0.58,-0.24,0.35,0.634,-0.116,0.116,-0.45,0.17,-0.02,-0.4,-0.15,-0.21
C38,dlHdC,5750,9.469,0.084,8.989,0.095,10.32,0.16,0.73,-0.21,0.26,0.577,-0.076,0.078,0.23,0.74,0.62,0.04,0.18,0.2
A223,dlHdC,6250,8.73,0.094,8.195,0.093,9.48,0.24,0.52,-0.18,0.24,0.635,0.085,0.083,-0.78,-0.12,-0.12,-0.78,-0.38,-0.65
B566,dlHdC,5750,9.089,0.102,8.55,0.103,10.026,0.25,0.78,-0.23,0.32,0.561,-0.085,0.082,-0.29,0.02,0.02,-0.52,-0.1,0.33
B42,dlHdC,5500,9.175,0.141,8.806,0.097,10.165,0.14,0.32,-0.15,0.28,0.761,-0.138,0.089,-0.31,0.34,0.29,0.06,-0.1,0.03
ASAS-RCB-21,RCB,5000,7.736,0.086,7.767,0.162,8.86,0.06,7.54,-2.53,4.14,0.116,-0.038,0.05,-0.92,-1.37,-1.18,-1.11,-0.61,-1.11
NSV11154,RCB,5250,7.454,0.151,7.193,0.097,8.9,0.06,7.18,-2.76,6.38,0.123,-0.054,0.063,-0.8,-1.2,-1.56,-1.54,-0.12,-0.83
AO Her,RCB,4750,6.949,0.111,7.763,0.136,8.95,0.05,69.03,-34.66,227.74,0.0145,-0.0113,0.0139,-1.03,-1.28,-1.52,-1.74,-0.33,-0.14
WISE J1942+,RCB,4500,6.59,0.13,7.42,0.1,8.72,0.06,92.93,-55.18,500,0.0105,-0.0105,0.0154,-0.92,-1.23,-1.75,-1.56,0.01,-0.57
ASAS-RCB-18,RCB,5000,7.83,0.19,8.01,0.14,9.15,0.05,9.73,-3.02,4.89,0.093,-0.029,0.037,-0.69,-1.22,-1.01,-0.9,-0.89,-0.38
WISE J1818+,RCB,5000,7.6,0.121,7.552,0.105,8.929,0.06,7.47,-2.73,4.27,0.118,-0.041,0.055,-0.69,-1.31,-1.27,-0.86,-0.16,-1
